FlightID,Airline,FlightNumber,Origin,Destination,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival,DelayMinutes,DelayReason,Cancelled,Diverted,AircraftType,TailNumber,Distance
1,United,4558,ORD,MIA,01-09-2024 08:11,01-09-2024 08:30,01-09-2024 12:11,01-09-2024 12:19,8,Weather,TRUE,FALSE,Boeing 737,N71066,1031
2,Delta,8021,LAX,MIA,01-09-2024 10:25,01-09-2024 10:41,01-09-2024 13:25,01-09-2024 13:27,2,Air Traffic Control,TRUE,TRUE,Airbus A320,N22657,1006
3,Southwest,7520,DFW,SFO,01-09-2024 16:53,01-09-2024 17:05,01-09-2024 17:53,01-09-2024 18:07,14,Weather,TRUE,TRUE,Boeing 737,N95611,2980
4,Delta,2046,ORD,BOS,01-09-2024 14:44,01-09-2024 15:04,01-09-2024 18:44,01-09-2024 18:34,-10,,FALSE,FALSE,Boeing 777,N90029,1408
5,Delta,6049,LAX,SEA,01-09-2024 01:51,01-09-2024 02:08,01-09-2024 05:51,01-09-2024 06:15,24,Air Traffic Control,FALSE,TRUE,Boeing 737,N27417,2298
6,Southwest,6311,LAX,JFK,01-09-2024 04:00,01-09-2024 04:12,01-09-2024 05:00,01-09-2024 04:55,-5,,FALSE,FALSE,Boeing 777,N92652,1386
7,Southwest,4188,ORD,JFK,01-09-2024 05:47,01-09-2024 06:02,01-09-2024 10:47,01-09-2024 10:54,7,Weather,FALSE,TRUE,Boeing 777,N25382,1674
8,Southwest,3179,DFW,MIA,01-09-2024 02:23,01-09-2024 02:49,01-09-2024 06:23,01-09-2024 06:47,24,Weather,FALSE,TRUE,Boeing 777,N65410,2931
9,American Airlines,3613,ORD,MIA,01-09-2024 00:02,01-09-2024 00:29,01-09-2024 02:02,01-09-2024 02:04,2,Weather,FALSE,FALSE,Airbus A320,N45570,2337
10,Southwest,2186,LAX,BOS,01-09-2024 10:14,01-09-2024 10:39,01-09-2024 14:14,01-09-2024 14:39,25,Maintenance,TRUE,FALSE,Boeing 777,N15724,605
11,American Airlines,9317,JFK,MIA,01-09-2024 20:57,01-09-2024 21:19,01-09-2024 21:57,01-09-2024 21:51,-6,,TRUE,TRUE,Airbus A320,N54905,2848
12,American Airlines,5251,DFW,BOS,01-09-2024 19:18,01-09-2024 19:41,01-09-2024 21:18,01-09-2024 21:48,30,Weather,FALSE,FALSE,Airbus A320,N94983,131
13,United,9966,DFW,SFO,01-09-2024 05:33,01-09-2024 05:58,01-09-2024 10:33,01-09-2024 10:36,3,Maintenance,FALSE,FALSE,Boeing 737,N35156,941
14,United,598,ATL,SEA,01-09-2024 07:30,01-09-2024 07:31,01-09-2024 13:30,01-09-2024 13:43,13,Air Traffic Control,FALSE,TRUE,Airbus A320,N54164,861
15,Delta,2478,ORD,SFO,01-09-2024 13:54,01-09-2024 14:05,01-09-2024 18:54,01-09-2024 19:20,26,Weather,FALSE,TRUE,Boeing 777,N88239,498
16,American Airlines,9486,LAX,SFO,01-09-2024 20:22,01-09-2024 20:42,02-09-2024 02:22,02-09-2024 02:13,-9,,FALSE,FALSE,Airbus A320,N34736,378
17,United,2978,LAX,MIA,01-09-2024 16:23,01-09-2024 16:48,01-09-2024 19:23,01-09-2024 19:40,17,Weather,FALSE,FALSE,Airbus A320,N16364,2225
18,United,2966,JFK,SEA,01-09-2024 03:04,01-09-2024 03:11,01-09-2024 04:04,01-09-2024 03:54,-10,,TRUE,FALSE,Airbus A320,N26442,701
19,American Airlines,390,JFK,BOS,01-09-2024 01:52,01-09-2024 02:03,01-09-2024 07:52,01-09-2024 08:18,26,Weather,TRUE,TRUE,Airbus A320,N65966,2268
20,Delta,6494,LAX,SEA,01-09-2024 23:17,01-09-2024 23:37,02-09-2024 04:17,02-09-2024 04:33,16,Air Traffic Control,TRUE,TRUE,Boeing 737,N68251,2979
